Index,Sim Date Time,ChSOC0,ChvBatt0,ChSOC1,ChvBatt1,ChSOC2,ChvBatt2,ChSOC3,ChvBatt3
44,2022-06-28 11:43:01,0.201100025,3.433330134,0.251100038,3.484550588,0.301100092,3.534993447,0.321100024,3.548379765
45,2022-06-28 11:43:01,0.201125026,3.433372388,0.251125039,3.484591347,0.301125094,3.535033913,0.321125024,3.548409839
46,2022-06-28 11:43:01,0.201150027,3.433414258,0.25115004,3.48463255,0.301150096,3.535074468,0.321150024,3.548439336
47,2022-06-28 11:43:02,0.201175028,3.433456345,0.25117504,3.484673259,0.301175098,3.535115228,0.321175026,3.548469134
48,2022-06-28 11:43:02,0.201200028,3.43349853,0.251200042,3.484714296,0.3012001,3.535155614,0.321200026,3.548499454
49,2022-06-28 11:43:02,0.201225028,3.433540212,0.251225043,3.484755426,0.301225102,3.535196088,0.321225026,3.548528759
50,2022-06-28 11:43:02,0.201250029,3.43358187,0.251250044,3.48479618,0.301250105,3.535236651,0.321250026,3.548558254
51,2022-06-28 11:43:02,0.20127503,3.433623985,0.251275045,3.48483691,0.301275107,3.535277653,0.321275026,3.548588381
52,2022-06-28 11:43:02,0.20130003,3.433665838,0.251300047,3.484877967,0.301300108,3.535317468,0.321300026,3.548617601
53,2022-06-28 11:43:02,0.20132503,3.433707427,0.251325048,3.484919001,0.301325111,3.535357487,0.321325027,3.548647233
54,2022-06-28 11:43:02,0.20135003,3.433749353,0.251350049,3.484959658,0.301350113,3.53539829,0.321350027,3.548677386
55,2022-06-28 11:43:02,0.201375031,3.433791016,0.251375049,3.48499994,0.301375115,3.535438488,0.321375027,3.548706414
56,2022-06-28 11:43:03,0.201400032,3.433833016,0.25140005,3.485040547,0.301400118,3.535478891,0.321400027,3.548736182
57,2022-06-28 11:43:03,0.201425032,3.433874754,0.251425051,3.485081483,0.30142512,3.535519267,0.321425027,3.548765594
58,2022-06-28 11:43:03,0.201450033,3.43391647,0.251450052,3.485122512,0.301450122,3.535559153,0.321450028,3.548795088
59,2022-06-28 11:43:03,0.201475033,3.433958042,0.251475052,3.485162814,0.301475125,3.535599475,0.321475028,3.548824884
